Region,LGA,Quarter,Count,Median,Property Type,Number of Bedrooms
Barwon South West,Colac-Otway,1999Q2,18.0,110.0,Flat,2
Barwon South West,Colac-Otway,1999Q3,14.0,110.0,Flat,2
Barwon South West,Colac-Otway,1999Q4,12.0,110.0,Flat,2
Barwon South West,Colac-Otway,2000Q1,20.0,110.0,Flat,2
Barwon South West,Colac-Otway,2000Q2,20.0,108.0,Flat,2
Barwon South West,Colac-Otway,2000Q3,12.0,120.0,Flat,2
Barwon South West,Colac-Otway,2000Q4,14.0,118.0,Flat,2
Barwon South West,Colac-Otway,2001Q1,15.0,110.0,Flat,2
Barwon South West,Colac-Otway,2001Q2,22.0,118.0,Flat,2
Barwon South West,Colac-Otway,2001Q3,16.0,115.0,Flat,2
Barwon South West,Colac-Otway,2001Q4,13.0,115.0,Flat,2
Barwon South West,Colac-Otway,2002Q1,18.0,120.0,Flat,2
Barwon South West,Colac-Otway,2002Q2,12.0,123.0,Flat,2
Barwon South West,Colac-Otway,2002Q3,17.0,130.0,Flat,2
Barwon South West,Colac-Otway,2002Q4,18.0,130.0,Flat,2
Barwon South West,Colac-Otway,2003Q1,25.0,125.0,Flat,2
Barwon South West,Colac-Otway,2003Q2,20.0,133.0,Flat,2
Barwon South West,Colac-Otway,2003Q3,19.0,145.0,Flat,2
Barwon South West,Colac-Otway,2003Q4,15.0,135.0,Flat,2
Barwon South West,Colac-Otway,2004Q1,18.0,135.0,Flat,2
Barwon South West,Colac-Otway,2004Q2,13.0,150.0,Flat,2
Barwon South West,Colac-Otway,2004Q3,15.0,150.0,Flat,2
Barwon South West,Colac-Otway,2004Q4,17.0,140.0,Flat,2
Barwon South West,Colac-Otway,2005Q1,21.0,150.0,Flat,2
Barwon South West,Colac-Otway,2005Q2,20.0,150.0,Flat,2
Barwon South West,Colac-Otway,2005Q3,23.0,140.0,Flat,2
Barwon South West,Colac-Otway,2005Q4,8.0,153.0,Flat,2
Barwon South West,Colac-Otway,2006Q1,15.0,150.0,Flat,2
Barwon South West,Colac-Otway,2006Q2,16.0,145.0,Flat,2
Barwon South West,Colac-Otway,2006Q3,21.0,145.0,Flat,2
Barwon South West,Colac-Otway,2006Q4,20.0,153.0,Flat,2
Barwon South West,Colac-Otway,2007Q1,23.0,165.0,Flat,2
Barwon South West,Colac-Otway,2007Q2,12.0,150.0,Flat,2
Barwon South West,Colac-Otway,2007Q3,17.0,165.0,Flat,2
Barwon South West,Colac-Otway,2007Q4,17.0,170.0,Flat,2
Barwon South West,Colac-Otway,2008Q1,20.0,183.0,Flat,2
Barwon South West,Colac-Otway,2008Q2,26.0,178.0,Flat,2
Barwon South West,Colac-Otway,2008Q3,22.0,180.0,Flat,2
Barwon South West,Colac-Otway,2008Q4,20.0,165.0,Flat,2
Barwon South West,Colac-Otway,2009Q1,27.0,175.0,Flat,2
Barwon South West,Colac-Otway,2009Q2,14.0,178.0,Flat,2
Barwon South West,Colac-Otway,2009Q3,20.0,185.0,Flat,2
Barwon South West,Colac-Otway,2009Q4,22.0,185.0,Flat,2
Barwon South West,Colac-Otway,2010Q1,21.0,165.0,Flat,2
Barwon South West,Colac-Otway,2010Q2,20.0,190.0,Flat,2
Barwon South West,Colac-Otway,2010Q3,20.0,185.0,Flat,2
Barwon South West,Colac-Otway,2010Q4,18.0,190.0,Flat,2
Barwon South West,Colac-Otway,2011Q1,21.0,180.0,Flat,2
Barwon South West,Colac-Otway,2011Q2,26.0,190.0,Flat,2
Barwon South West,Colac-Otway,2011Q3,17.0,190.0,Flat,2
