Region,LGA,Quarter,Count,Median,Property Type,Number of Bedrooms
Barwon South West,Colac-Otway,2000Q3,5.0,125.0,House,4
Barwon South West,Colac-Otway,2001Q1,7.0,170.0,House,4
Barwon South West,Colac-Otway,2001Q3,7.0,150.0,House,4
Barwon South West,Colac-Otway,2001Q4,7.0,195.0,House,4
Barwon South West,Colac-Otway,2002Q1,7.0,190.0,House,4
Barwon South West,Colac-Otway,2002Q2,5.0,180.0,House,4
Barwon South West,Colac-Otway,2002Q3,10.0,150.0,House,4
Barwon South West,Colac-Otway,2002Q4,5.0,200.0,House,4
Barwon South West,Colac-Otway,2003Q1,5.0,200.0,House,4
Barwon South West,Colac-Otway,2003Q2,7.0,190.0,House,4
Barwon South West,Colac-Otway,2003Q3,6.0,205.0,House,4
Barwon South West,Colac-Otway,2003Q4,5.0,165.0,House,4
Barwon South West,Colac-Otway,2004Q1,7.0,190.0,House,4
Barwon South West,Colac-Otway,2004Q4,6.0,175.0,House,4
Barwon South West,Colac-Otway,2005Q1,10.0,205.0,House,4
Barwon South West,Colac-Otway,2005Q3,11.0,200.0,House,4
Barwon South West,Colac-Otway,2005Q4,5.0,200.0,House,4
Barwon South West,Colac-Otway,2006Q1,14.0,225.0,House,4
Barwon South West,Colac-Otway,2006Q2,12.0,200.0,House,4
Barwon South West,Colac-Otway,2006Q3,7.0,200.0,House,4
Barwon South West,Colac-Otway,2006Q4,8.0,180.0,House,4
Barwon South West,Colac-Otway,2007Q1,11.0,240.0,House,4
Barwon South West,Colac-Otway,2007Q2,9.0,225.0,House,4
Barwon South West,Colac-Otway,2007Q3,8.0,245.0,House,4
Barwon South West,Colac-Otway,2007Q4,7.0,170.0,House,4
Barwon South West,Colac-Otway,2008Q1,16.0,253.0,House,4
Barwon South West,Colac-Otway,2008Q2,16.0,273.0,House,4
Barwon South West,Colac-Otway,2008Q3,13.0,250.0,House,4
Barwon South West,Colac-Otway,2008Q4,10.0,255.0,House,4
Barwon South West,Colac-Otway,2009Q1,11.0,260.0,House,4
Barwon South West,Colac-Otway,2009Q2,15.0,240.0,House,4
Barwon South West,Colac-Otway,2009Q3,6.0,280.0,House,4
Barwon South West,Colac-Otway,2009Q4,5.0,250.0,House,4
Barwon South West,Colac-Otway,2010Q1,20.0,270.0,House,4
Barwon South West,Colac-Otway,2010Q2,9.0,225.0,House,4
Barwon South West,Colac-Otway,2010Q3,11.0,260.0,House,4
Barwon South West,Colac-Otway,2010Q4,7.0,260.0,House,4
Barwon South West,Colac-Otway,2011Q1,9.0,300.0,House,4
Barwon South West,Colac-Otway,2011Q2,9.0,300.0,House,4
Barwon South West,Colac-Otway,2011Q3,5.0,300.0,House,4
Barwon South West,Colac-Otway,2011Q4,15.0,270.0,House,4
Barwon South West,Colac-Otway,2012Q1,14.0,300.0,House,4
Barwon South West,Colac-Otway,2012Q2,11.0,280.0,House,4
Barwon South West,Colac-Otway,2012Q3,13.0,300.0,House,4
Barwon South West,Colac-Otway,2012Q4,13.0,280.0,House,4
Barwon South West,Colac-Otway,2013Q1,13.0,300.0,House,4
