Region,LGA,Quarter,Count,Median,Property Type,Number of Bedrooms
Barwon South West,Colac-Otway,2000Q3,6.0,125.0,Flat,3
Barwon South West,Colac-Otway,2002Q4,6.0,185.0,Flat,3
Barwon South West,Colac-Otway,2003Q3,5.0,180.0,Flat,3
Barwon South West,Colac-Otway,2003Q4,5.0,200.0,Flat,3
Barwon South West,Colac-Otway,2004Q2,5.0,180.0,Flat,3
Barwon South West,Colac-Otway,2004Q4,5.0,170.0,Flat,3
Barwon South West,Colac-Otway,2006Q3,8.0,225.0,Flat,3
Barwon South West,Colac-Otway,2008Q1,5.0,260.0,Flat,3
Barwon South West,Colac-Otway,2008Q4,7.0,230.0,Flat,3
Barwon South West,Colac-Otway,2009Q3,5.0,230.0,Flat,3
Barwon South West,Colac-Otway,2010Q2,5.0,270.0,Flat,3
Barwon South West,Colac-Otway,2010Q3,9.0,270.0,Flat,3
Barwon South West,Colac-Otway,2010Q4,6.0,250.0,Flat,3
Barwon South West,Colac-Otway,2011Q1,8.0,240.0,Flat,3
Barwon South West,Colac-Otway,2011Q3,6.0,310.0,Flat,3
Barwon South West,Colac-Otway,2012Q2,5.0,270.0,Flat,3
Barwon South West,Colac-Otway,2012Q3,8.0,270.0,Flat,3
Barwon South West,Colac-Otway,2013Q1,6.0,233.0,Flat,3
Barwon South West,Colac-Otway,2013Q2,7.0,300.0,Flat,3
Barwon South West,Colac-Otway,2014Q2,6.0,293.0,Flat,3
Barwon South West,Colac-Otway,2014Q3,8.0,290.0,Flat,3
Barwon South West,Colac-Otway,2014Q4,7.0,285.0,Flat,3
Barwon South West,Colac-Otway,2015Q2,5.0,290.0,Flat,3
Barwon South West,Colac-Otway,2015Q3,8.0,300.0,Flat,3
Barwon South West,Colac-Otway,2016Q1,10.0,288.0,Flat,3
Barwon South West,Colac-Otway,2016Q2,7.0,330.0,Flat,3
Barwon South West,Colac-Otway,2016Q3,12.0,273.0,Flat,3
Barwon South West,Colac-Otway,2016Q4,10.0,300.0,Flat,3
Barwon South West,Colac-Otway,2017Q1,12.0,333.0,Flat,3
Barwon South West,Colac-Otway,2017Q2,9.0,310.0,Flat,3
Barwon South West,Colac-Otway,2017Q3,7.0,350.0,Flat,3
Barwon South West,Colac-Otway,2017Q4,8.0,300.0,Flat,3
Barwon South West,Colac-Otway,2018Q1,5.0,330.0,Flat,3
Barwon South West,Colac-Otway,2018Q3,5.0,330.0,Flat,3
Barwon South West,Colac-Otway,2018Q4,6.0,295.0,Flat,3
Barwon South West,Colac-Otway,2019Q1,10.0,380.0,Flat,3
Barwon South West,Colac-Otway,2019Q3,6.0,365.0,Flat,3
Barwon South West,Colac-Otway,2019Q4,5.0,350.0,Flat,3
Barwon South West,Colac-Otway,2020Q1,7.0,400.0,Flat,3
Barwon South West,Colac-Otway,2020Q2,5.0,340.0,Flat,3
Barwon South West,Colac-Otway,2020Q4,9.0,400.0,Flat,3
Barwon South West,Colac-Otway,2021Q1,6.0,393.0,Flat,3
Barwon South West,Colac-Otway,2021Q2,6.0,385.0,Flat,3
Barwon South West,Colac-Otway,2021Q3,5.0,360.0,Flat,3
Barwon South West,Colac-Otway,2022Q1,6.0,425.0,Flat,3
Barwon South West,Colac-Otway,2022Q3,6.0,380.0,Flat,3
Barwon South West,Colac-Otway,2022Q4,8.0,445.0,Flat,3
Barwon South West,Colac-Otway,2023Q1,9.0,430.0,Flat,3
Barwon South West,Colac-Otway,2023Q2,5.0,475.0,Flat,3
Barwon South West,Colac-Otway,2023Q3,6.0,450.0,Flat,3
Barwon South West,Colac-Otway,2023Q4,5.0,400.0,Flat,3
Barwon South West,Colac-Otway,2024Q3,6.0,430.0,Flat,3
Barwon South West,Colac-Otway,2024Q4,5.0,500.0,Flat,3
Barwon South West,Corangamite,2011Q3,7.0,600.0,Flat,3
Barwon South West,Corangamite,2015Q1,5.0,270.0,Flat,3
Barwon South West,Corangamite,2018Q1,5.0,290.0,Flat,3
Barwon South West,Glenelg,2000Q4,8.0,115.0,Flat,3
Barwon South West,Glenelg,2006Q4,5.0,250.0,Flat,3
Barwon South West,Glenelg,2008Q4,5.0,255.0,Flat,3
Barwon South West,Glenelg,2009Q1,7.0,180.0,Flat,3
Barwon South West,Glenelg,2010Q1,6.0,253.0,Flat,3
Barwon South West,Glenelg,2010Q3,6.0,245.0,Flat,3
Barwon South West,Glenelg,2010Q4,7.0,220.0,Flat,3
Barwon South West,Glenelg,2011Q1,10.0,250.0,Flat,3
Barwon South West,Glenelg,2012Q3,5.0,240.0,Flat,3
Barwon South West,Glenelg,2013Q1,5.0,210.0,Flat,3
Barwon South West,Glenelg,2013Q2,7.0,230.0,Flat,3
Barwon South West,Glenelg,2014Q2,7.0,250.0,Flat,3
Barwon South West,Glenelg,2015Q1,9.0,250.0,Flat,3
Barwon South West,Glenelg,2015Q4,7.0,250.0,Flat,3
Barwon South West,Glenelg,2016Q1,5.0,250.0,Flat,3
Barwon South West,Glenelg,2016Q4,9.0,250.0,Flat,3
Barwon South West,Glenelg,2019Q3,5.0,320.0,Flat,3
Barwon South West,Glenelg,2023Q3,5.0,450.0,Flat,3
Barwon South West,Glenelg,2024Q3,6.0,405.0,Flat,3
Barwon South West,Greater Geelong,1999Q2,24.0,140.0,Flat,3
Barwon South West,Greater Geelong,1999Q3,34.0,150.0,Flat,3
Barwon South West,Greater Geelong,1999Q4,39.0,180.0,Flat,3
Barwon South West,Greater Geelong,2000Q1,28.0,180.0,Flat,3
Barwon South West,Greater Geelong,2000Q2,36.0,150.0,Flat,3
Barwon South West,Greater Geelong,2000Q3,35.0,150.0,Flat,3
Barwon South West,Greater Geelong,2000Q4,50.0,164.0,Flat,3
Barwon South West,Greater Geelong,2001Q1,37.0,165.0,Flat,3
Barwon South West,Greater Geelong,2001Q2,44.0,170.0,Flat,3
Barwon South West,Greater Geelong,2001Q3,53.0,165.0,Flat,3
Barwon South West,Greater Geelong,2001Q4,42.0,170.0,Flat,3
Barwon South West,Greater Geelong,2002Q1,40.0,183.0,Flat,3
Barwon South West,Greater Geelong,2002Q2,33.0,185.0,Flat,3
Barwon South West,Greater Geelong,2002Q3,39.0,180.0,Flat,3
Barwon South West,Greater Geelong,2002Q4,33.0,185.0,Flat,3
Barwon South West,Greater Geelong,2003Q1,47.0,190.0,Flat,3
Barwon South West,Greater Geelong,2003Q2,29.0,205.0,Flat,3
Barwon South West,Greater Geelong,2003Q3,39.0,190.0,Flat,3
Barwon South West,Greater Geelong,2003Q4,33.0,200.0,Flat,3
Barwon South West,Greater Geelong,2004Q1,44.0,210.0,Flat,3
Barwon South West,Greater Geelong,2004Q2,38.0,205.0,Flat,3
Barwon South West,Greater Geelong,2004Q3,44.0,200.0,Flat,3
Barwon South West,Greater Geelong,2004Q4,39.0,210.0,Flat,3
Barwon South West,Greater Geelong,2005Q1,58.0,225.0,Flat,3
Barwon South West,Greater Geelong,2005Q2,31.0,210.0,Flat,3
Barwon South West,Greater Geelong,2005Q3,50.0,225.0,Flat,3
Barwon South West,Greater Geelong,2005Q4,46.0,215.0,Flat,3
Barwon South West,Greater Geelong,2006Q1,41.0,240.0,Flat,3
Barwon South West,Greater Geelong,2006Q2,38.0,228.0,Flat,3
Barwon South West,Greater Geelong,2006Q3,60.0,220.0,Flat,3
Barwon South West,Greater Geelong,2006Q4,54.0,235.0,Flat,3
Barwon South West,Greater Geelong,2007Q1,46.0,268.0,Flat,3
Barwon South West,Greater Geelong,2007Q2,47.0,245.0,Flat,3
Barwon South West,Greater Geelong,2007Q3,56.0,260.0,Flat,3
Barwon South West,Greater Geelong,2007Q4,39.0,250.0,Flat,3
Barwon South West,Greater Geelong,2008Q1,59.0,250.0,Flat,3
Barwon South West,Greater Geelong,2008Q2,61.0,275.0,Flat,3
Barwon South West,Greater Geelong,2008Q3,55.0,260.0,Flat,3
Barwon South West,Greater Geelong,2008Q4,67.0,300.0,Flat,3
Barwon South West,Greater Geelong,2009Q1,75.0,295.0,Flat,3
Barwon South West,Greater Geelong,2009Q2,69.0,290.0,Flat,3
Barwon South West,Greater Geelong,2009Q3,67.0,290.0,Flat,3
Barwon South West,Greater Geelong,2009Q4,58.0,280.0,Flat,3
Barwon South West,Greater Geelong,2010Q1,80.0,295.0,Flat,3
Barwon South West,Greater Geelong,2010Q2,74.0,295.0,Flat,3
Barwon South West,Greater Geelong,2010Q3,72.0,308.0,Flat,3
Barwon South West,Greater Geelong,2010Q4,79.0,330.0,Flat,3
Barwon South West,Greater Geelong,2011Q1,101.0,340.0,Flat,3
Barwon South West,Greater Geelong,2011Q2,76.0,340.0,Flat,3
Barwon South West,Greater Geelong,2011Q3,82.0,330.0,Flat,3
Barwon South West,Greater Geelong,2011Q4,85.0,320.0,Flat,3
Barwon South West,Greater Geelong,2012Q1,98.0,340.0,Flat,3
Barwon South West,Greater Geelong,2012Q2,95.0,330.0,Flat,3
Barwon South West,Greater Geelong,2012Q3,97.0,330.0,Flat,3
Barwon South West,Greater Geelong,2012Q4,99.0,330.0,Flat,3
Barwon South West,Greater Geelong,2013Q1,157.0,335.0,Flat,3
Barwon South West,Greater Geelong,2013Q2,102.0,330.0,Flat,3
Barwon South West,Greater Geelong,2013Q3,98.0,333.0,Flat,3
Barwon South West,Greater Geelong,2013Q4,118.0,340.0,Flat,3
Barwon South West,Greater Geelong,2014Q1,133.0,340.0,Flat,3
Barwon South West,Greater Geelong,2014Q2,129.0,330.0,Flat,3
Barwon South West,Greater Geelong,2014Q3,120.0,325.0,Flat,3
Barwon South West,Greater Geelong,2014Q4,136.0,330.0,Flat,3
Barwon South West,Greater Geelong,2015Q1,147.0,330.0,Flat,3
Barwon South West,Greater Geelong,2015Q2,136.0,330.0,Flat,3
Barwon South West,Greater Geelong,2015Q3,150.0,330.0,Flat,3
Barwon South West,Greater Geelong,2015Q4,110.0,340.0,Flat,3
Barwon South West,Greater Geelong,2016Q1,137.0,340.0,Flat,3
Barwon South West,Greater Geelong,2016Q2,101.0,344.0,Flat,3
Barwon South West,Greater Geelong,2016Q3,130.0,350.0,Flat,3
Barwon South West,Greater Geelong,2016Q4,126.0,350.0,Flat,3
Barwon South West,Greater Geelong,2017Q1,147.0,360.0,Flat,3
Barwon South West,Greater Geelong,2017Q2,140.0,350.0,Flat,3
Barwon South West,Greater Geelong,2017Q3,100.0,350.0,Flat,3
Barwon South West,Greater Geelong,2017Q4,115.0,365.0,Flat,3
Barwon South West,Greater Geelong,2018Q1,139.0,360.0,Flat,3
Barwon South West,Greater Geelong,2018Q2,142.0,360.0,Flat,3
Barwon South West,Greater Geelong,2018Q3,116.0,373.0,Flat,3
Barwon South West,Greater Geelong,2018Q4,155.0,380.0,Flat,3
Barwon South West,Greater Geelong,2019Q1,147.0,390.0,Flat,3
Barwon South West,Greater Geelong,2019Q2,98.0,380.0,Flat,3
Barwon South West,Greater Geelong,2019Q3,116.0,390.0,Flat,3
Barwon South West,Greater Geelong,2019Q4,111.0,390.0,Flat,3
Barwon South West,Greater Geelong,2020Q1,173.0,390.0,Flat,3
Barwon South West,Greater Geelong,2020Q2,101.0,380.0,Flat,3
Barwon South West,Greater Geelong,2020Q3,125.0,390.0,Flat,3
Barwon South West,Greater Geelong,2020Q4,147.0,400.0,Flat,3
Barwon South West,Greater Geelong,2021Q1,129.0,400.0,Flat,3
Barwon South West,Greater Geelong,2021Q2,134.0,420.0,Flat,3
Barwon South West,Greater Geelong,2021Q3,127.0,410.0,Flat,3
Barwon South West,Greater Geelong,2021Q4,116.0,423.0,Flat,3
Barwon South West,Greater Geelong,2022Q1,118.0,440.0,Flat,3
Barwon South West,Greater Geelong,2022Q2,104.0,440.0,Flat,3
Barwon South West,Greater Geelong,2022Q3,116.0,450.0,Flat,3
Barwon South West,Greater Geelong,2022Q4,137.0,460.0,Flat,3
Barwon South West,Greater Geelong,2023Q1,144.0,465.0,Flat,3
Barwon South West,Greater Geelong,2023Q2,135.0,460.0,Flat,3
Barwon South West,Greater Geelong,2023Q3,109.0,465.0,Flat,3
Barwon South West,Greater Geelong,2023Q4,118.0,470.0,Flat,3
Barwon South West,Greater Geelong,2024Q1,164.0,490.0,Flat,3
Barwon South West,Greater Geelong,2024Q2,114.0,488.0,Flat,3
Barwon South West,Greater Geelong,2024Q3,148.0,500.0,Flat,3
Barwon South West,Greater Geelong,2024Q4,112.0,490.0,Flat,3
Barwon South West,Moyne,2012Q3,6.0,280.0,Flat,3
Barwon South West,Moyne,2015Q4,5.0,280.0,Flat,3
Barwon South West,Southern Grampians,2007Q4,6.0,225.0,Flat,3
Barwon South West,Southern Grampians,2010Q1,8.0,245.0,Flat,3
Barwon South West,Surf Coast,1999Q2,8.0,143.0,Flat,3
Barwon South West,Surf Coast,1999Q3,7.0,150.0,Flat,3
Barwon South West,Surf Coast,2000Q1,13.0,160.0,Flat,3
Barwon South West,Surf Coast,2000Q2,11.0,155.0,Flat,3
Barwon South West,Surf Coast,2000Q3,18.0,160.0,Flat,3
Barwon South West,Surf Coast,2000Q4,7.0,165.0,Flat,3
Barwon South West,Surf Coast,2001Q1,7.0,150.0,Flat,3
Barwon South West,Surf Coast,2001Q2,8.0,178.0,Flat,3
Barwon South West,Surf Coast,2001Q3,13.0,180.0,Flat,3
Barwon South West,Surf Coast,2001Q4,12.0,250.0,Flat,3
Barwon South West,Surf Coast,2002Q1,6.0,163.0,Flat,3
Barwon South West,Surf Coast,2002Q2,9.0,170.0,Flat,3
Barwon South West,Surf Coast,2002Q3,11.0,220.0,Flat,3
Barwon South West,Surf Coast,2002Q4,12.0,250.0,Flat,3
Barwon South West,Surf Coast,2003Q1,7.0,250.0,Flat,3
Barwon South West,Surf Coast,2003Q2,11.0,190.0,Flat,3
Barwon South West,Surf Coast,2003Q3,12.0,220.0,Flat,3
Barwon South West,Surf Coast,2003Q4,12.0,240.0,Flat,3
Barwon South West,Surf Coast,2004Q2,10.0,185.0,Flat,3
Barwon South West,Surf Coast,2004Q3,13.0,220.0,Flat,3
Barwon South West,Surf Coast,2004Q4,15.0,260.0,Flat,3
Barwon South West,Surf Coast,2005Q1,10.0,255.0,Flat,3
Barwon South West,Surf Coast,2005Q2,18.0,265.0,Flat,3
Barwon South West,Surf Coast,2005Q3,13.0,300.0,Flat,3
Barwon South West,Surf Coast,2005Q4,6.0,300.0,Flat,3
Barwon South West,Surf Coast,2006Q1,14.0,298.0,Flat,3
Barwon South West,Surf Coast,2006Q2,11.0,280.0,Flat,3
Barwon South West,Surf Coast,2006Q3,21.0,300.0,Flat,3
Barwon South West,Surf Coast,2006Q4,8.0,345.0,Flat,3
Barwon South West,Surf Coast,2007Q1,8.0,298.0,Flat,3
Barwon South West,Surf Coast,2007Q2,14.0,318.0,Flat,3
Barwon South West,Surf Coast,2007Q3,15.0,340.0,Flat,3
Barwon South West,Surf Coast,2007Q4,17.0,340.0,Flat,3
Barwon South West,Surf Coast,2008Q1,19.0,340.0,Flat,3
Barwon South West,Surf Coast,2008Q2,10.0,283.0,Flat,3
Barwon South West,Surf Coast,2008Q3,9.0,350.0,Flat,3
Barwon South West,Surf Coast,2008Q4,11.0,320.0,Flat,3
Barwon South West,Surf Coast,2009Q1,14.0,340.0,Flat,3
Barwon South West,Surf Coast,2009Q2,7.0,310.0,Flat,3
Barwon South West,Surf Coast,2009Q3,11.0,300.0,Flat,3
Barwon South West,Surf Coast,2009Q4,14.0,330.0,Flat,3
Barwon South West,Surf Coast,2010Q1,16.0,328.0,Flat,3
Barwon South West,Surf Coast,2010Q2,14.0,360.0,Flat,3
Barwon South West,Surf Coast,2010Q3,18.0,340.0,Flat,3
Barwon South West,Surf Coast,2010Q4,8.0,373.0,Flat,3
Barwon South West,Surf Coast,2011Q1,17.0,395.0,Flat,3
Barwon South West,Surf Coast,2011Q2,17.0,365.0,Flat,3
Barwon South West,Surf Coast,2011Q3,22.0,355.0,Flat,3
Barwon South West,Surf Coast,2011Q4,11.0,400.0,Flat,3
Barwon South West,Surf Coast,2012Q1,7.0,365.0,Flat,3
Barwon South West,Surf Coast,2012Q2,14.0,393.0,Flat,3
Barwon South West,Surf Coast,2012Q3,19.0,350.0,Flat,3
Barwon South West,Surf Coast,2012Q4,15.0,380.0,Flat,3
Barwon South West,Surf Coast,2013Q1,11.0,360.0,Flat,3
Barwon South West,Surf Coast,2013Q2,18.0,370.0,Flat,3
Barwon South West,Surf Coast,2013Q3,10.0,355.0,Flat,3
Barwon South West,Surf Coast,2013Q4,20.0,350.0,Flat,3
Barwon South West,Surf Coast,2014Q1,11.0,350.0,Flat,3
Barwon South West,Surf Coast,2014Q2,13.0,375.0,Flat,3
Barwon South West,Surf Coast,2014Q3,27.0,390.0,Flat,3
Barwon South West,Surf Coast,2014Q4,15.0,410.0,Flat,3
Barwon South West,Surf Coast,2015Q1,7.0,430.0,Flat,3
Barwon South West,Surf Coast,2015Q2,12.0,390.0,Flat,3
Barwon South West,Surf Coast,2015Q3,19.0,400.0,Flat,3
Barwon South West,Surf Coast,2015Q4,21.0,410.0,Flat,3
Barwon South West,Surf Coast,2016Q1,7.0,360.0,Flat,3
Barwon South West,Surf Coast,2016Q2,13.0,440.0,Flat,3
Barwon South West,Surf Coast,2016Q3,19.0,420.0,Flat,3
Barwon South West,Surf Coast,2016Q4,8.0,368.0,Flat,3
Barwon South West,Surf Coast,2017Q1,9.0,475.0,Flat,3
Barwon South West,Surf Coast,2017Q2,14.0,400.0,Flat,3
Barwon South West,Surf Coast,2017Q3,15.0,430.0,Flat,3
Barwon South West,Surf Coast,2017Q4,10.0,440.0,Flat,3
Barwon South West,Surf Coast,2018Q1,15.0,420.0,Flat,3
Barwon South West,Surf Coast,2018Q2,12.0,498.0,Flat,3
Barwon South West,Surf Coast,2018Q3,10.0,420.0,Flat,3
Barwon South West,Surf Coast,2018Q4,14.0,455.0,Flat,3
Barwon South West,Surf Coast,2019Q1,17.0,460.0,Flat,3
Barwon South West,Surf Coast,2019Q2,8.0,438.0,Flat,3
Barwon South West,Surf Coast,2019Q3,16.0,478.0,Flat,3
Barwon South West,Surf Coast,2019Q4,19.0,475.0,Flat,3
Barwon South West,Surf Coast,2020Q1,11.0,500.0,Flat,3
Barwon South West,Surf Coast,2020Q2,13.0,430.0,Flat,3
Barwon South West,Surf Coast,2020Q3,20.0,498.0,Flat,3
Barwon South West,Surf Coast,2020Q4,13.0,420.0,Flat,3
Barwon South West,Surf Coast,2021Q1,9.0,550.0,Flat,3
Barwon South West,Surf Coast,2021Q2,18.0,550.0,Flat,3
Barwon South West,Surf Coast,2021Q3,11.0,550.0,Flat,3
Barwon South West,Surf Coast,2021Q4,7.0,600.0,Flat,3
Barwon South West,Surf Coast,2022Q1,15.0,550.0,Flat,3
Barwon South West,Surf Coast,2022Q2,11.0,570.0,Flat,3
Barwon South West,Surf Coast,2022Q3,18.0,550.0,Flat,3
Barwon South West,Surf Coast,2022Q4,8.0,565.0,Flat,3
Barwon South West,Surf Coast,2023Q1,12.0,575.0,Flat,3
Barwon South West,Surf Coast,2023Q2,13.0,600.0,Flat,3
Barwon South West,Surf Coast,2023Q3,11.0,570.0,Flat,3
Barwon South West,Surf Coast,2023Q4,8.0,540.0,Flat,3
Barwon South West,Surf Coast,2024Q1,17.0,640.0,Flat,3
Barwon South West,Surf Coast,2024Q2,10.0,645.0,Flat,3
Barwon South West,Surf Coast,2024Q3,19.0,600.0,Flat,3
Barwon South West,Surf Coast,2024Q4,5.0,620.0,Flat,3
Barwon South West,Warrnambool,1999Q2,8.0,168.0,Flat,3
Barwon South West,Warrnambool,1999Q3,11.0,140.0,Flat,3
Barwon South West,Warrnambool,1999Q4,19.0,145.0,Flat,3
Barwon South West,Warrnambool,2000Q1,16.0,163.0,Flat,3
Barwon South West,Warrnambool,2000Q2,8.0,168.0,Flat,3
Barwon South West,Warrnambool,2000Q3,11.0,160.0,Flat,3
Barwon South West,Warrnambool,2000Q4,18.0,160.0,Flat,3
