Region,LGA,Quarter,Count,Median,Property Type,Number of Bedrooms
Barwon South West,Colac-Otway,1999Q2,52.0,120.0,House,3
Barwon South West,Colac-Otway,1999Q3,41.0,125.0,House,3
Barwon South West,Colac-Otway,1999Q4,40.0,120.0,House,3
Barwon South West,Colac-Otway,2000Q1,52.0,123.0,House,3
Barwon South West,Colac-Otway,2000Q2,44.0,130.0,House,3
Barwon South West,Colac-Otway,2000Q3,60.0,123.0,House,3
Barwon South West,Colac-Otway,2000Q4,33.0,130.0,House,3
Barwon South West,Colac-Otway,2001Q1,47.0,130.0,House,3
Barwon South West,Colac-Otway,2001Q2,41.0,130.0,House,3
Barwon South West,Colac-Otway,2001Q3,44.0,135.0,House,3
Barwon South West,Colac-Otway,2001Q4,37.0,130.0,House,3
Barwon South West,Colac-Otway,2002Q1,41.0,150.0,House,3
Barwon South West,Colac-Otway,2002Q2,49.0,150.0,House,3
Barwon South West,Colac-Otway,2002Q3,41.0,155.0,House,3
Barwon South West,Colac-Otway,2002Q4,49.0,160.0,House,3
Barwon South West,Colac-Otway,2003Q1,60.0,170.0,House,3
Barwon South West,Colac-Otway,2003Q2,51.0,170.0,House,3
Barwon South West,Colac-Otway,2003Q3,46.0,173.0,House,3
Barwon South West,Colac-Otway,2003Q4,60.0,173.0,House,3
Barwon South West,Colac-Otway,2004Q1,49.0,180.0,House,3
Barwon South West,Colac-Otway,2004Q2,45.0,170.0,House,3
Barwon South West,Colac-Otway,2004Q3,58.0,175.0,House,3
Barwon South West,Colac-Otway,2004Q4,52.0,180.0,House,3
Barwon South West,Colac-Otway,2005Q1,53.0,175.0,House,3
Barwon South West,Colac-Otway,2005Q2,64.0,178.0,House,3
Barwon South West,Colac-Otway,2005Q3,57.0,180.0,House,3
Barwon South West,Colac-Otway,2005Q4,47.0,180.0,House,3
Barwon South West,Colac-Otway,2006Q1,48.0,190.0,House,3
Barwon South West,Colac-Otway,2006Q2,59.0,185.0,House,3
Barwon South West,Colac-Otway,2006Q3,47.0,180.0,House,3
Barwon South West,Colac-Otway,2006Q4,44.0,185.0,House,3
Barwon South West,Colac-Otway,2007Q1,45.0,185.0,House,3
Barwon South West,Colac-Otway,2007Q2,47.0,185.0,House,3
Barwon South West,Colac-Otway,2007Q3,47.0,185.0,House,3
Barwon South West,Colac-Otway,2007Q4,44.0,200.0,House,3
Barwon South West,Colac-Otway,2008Q1,65.0,200.0,House,3
Barwon South West,Colac-Otway,2008Q2,60.0,200.0,House,3
Barwon South West,Colac-Otway,2008Q3,65.0,205.0,House,3
Barwon South West,Colac-Otway,2008Q4,54.0,220.0,House,3
Barwon South West,Colac-Otway,2009Q1,60.0,200.0,House,3
Barwon South West,Colac-Otway,2009Q2,54.0,225.0,House,3
Barwon South West,Colac-Otway,2009Q3,70.0,210.0,House,3
Barwon South West,Colac-Otway,2009Q4,60.0,225.0,House,3
Barwon South West,Colac-Otway,2010Q1,54.0,230.0,House,3
Barwon South West,Colac-Otway,2010Q2,75.0,220.0,House,3
Barwon South West,Colac-Otway,2010Q3,61.0,230.0,House,3
Barwon South West,Colac-Otway,2010Q4,51.0,225.0,House,3
Barwon South West,Colac-Otway,2011Q1,64.0,240.0,House,3
Barwon South West,Colac-Otway,2011Q2,68.0,240.0,House,3
Barwon South West,Colac-Otway,2011Q3,66.0,250.0,House,3
Barwon South West,Colac-Otway,2011Q4,66.0,250.0,House,3
Barwon South West,Colac-Otway,2012Q1,61.0,235.0,House,3
Barwon South West,Colac-Otway,2012Q2,57.0,270.0,House,3
Barwon South West,Colac-Otway,2012Q3,65.0,260.0,House,3
Barwon South West,Colac-Otway,2012Q4,58.0,255.0,House,3
Barwon South West,Colac-Otway,2013Q1,70.0,250.0,House,3
Barwon South West,Colac-Otway,2013Q2,53.0,260.0,House,3
Barwon South West,Colac-Otway,2013Q3,66.0,267.0,House,3
Barwon South West,Colac-Otway,2013Q4,86.0,270.0,House,3
Barwon South West,Colac-Otway,2014Q1,71.0,260.0,House,3
Barwon South West,Colac-Otway,2014Q2,64.0,255.0,House,3
Barwon South West,Colac-Otway,2014Q3,67.0,265.0,House,3
Barwon South West,Colac-Otway,2014Q4,63.0,270.0,House,3
Barwon South West,Colac-Otway,2015Q1,72.0,260.0,House,3
Barwon South West,Colac-Otway,2015Q2,65.0,270.0,House,3
Barwon South West,Colac-Otway,2015Q3,62.0,280.0,House,3
Barwon South West,Colac-Otway,2015Q4,71.0,280.0,House,3
Barwon South West,Colac-Otway,2016Q1,83.0,280.0,House,3
Barwon South West,Colac-Otway,2016Q2,72.0,280.0,House,3
Barwon South West,Colac-Otway,2016Q3,75.0,280.0,House,3
Barwon South West,Colac-Otway,2016Q4,71.0,280.0,House,3
Barwon South West,Colac-Otway,2017Q1,63.0,285.0,House,3
Barwon South West,Colac-Otway,2017Q2,76.0,285.0,House,3
Barwon South West,Colac-Otway,2017Q3,68.0,290.0,House,3
Barwon South West,Colac-Otway,2017Q4,56.0,300.0,House,3
Barwon South West,Colac-Otway,2018Q1,77.0,290.0,House,3
Barwon South West,Colac-Otway,2018Q2,55.0,310.0,House,3
Barwon South West,Colac-Otway,2018Q3,64.0,305.0,House,3
Barwon South West,Colac-Otway,2018Q4,47.0,310.0,House,3
Barwon South West,Colac-Otway,2019Q1,56.0,320.0,House,3
Barwon South West,Colac-Otway,2019Q2,63.0,335.0,House,3
Barwon South West,Colac-Otway,2019Q3,56.0,318.0,House,3
Barwon South West,Colac-Otway,2019Q4,64.0,320.0,House,3
Barwon South West,Colac-Otway,2020Q1,69.0,325.0,House,3
Barwon South West,Colac-Otway,2020Q2,45.0,320.0,House,3
Barwon South West,Colac-Otway,2020Q3,75.0,350.0,House,3
Barwon South West,Colac-Otway,2020Q4,44.0,348.0,House,3
Barwon South West,Colac-Otway,2021Q1,47.0,350.0,House,3
Barwon South West,Colac-Otway,2021Q2,47.0,350.0,House,3
Barwon South West,Colac-Otway,2021Q3,36.0,360.0,House,3
Barwon South West,Colac-Otway,2021Q4,46.0,400.0,House,3
Barwon South West,Colac-Otway,2022Q1,42.0,393.0,House,3
Barwon South West,Colac-Otway,2022Q2,44.0,390.0,House,3
Barwon South West,Colac-Otway,2022Q3,34.0,420.0,House,3
Barwon South West,Colac-Otway,2022Q4,39.0,400.0,House,3
Barwon South West,Colac-Otway,2023Q1,40.0,440.0,House,3
Barwon South West,Colac-Otway,2023Q2,50.0,440.0,House,3
Barwon South West,Colac-Otway,2023Q3,54.0,440.0,House,3
Barwon South West,Colac-Otway,2023Q4,31.0,450.0,House,3
Barwon South West,Colac-Otway,2024Q1,49.0,450.0,House,3
Barwon South West,Colac-Otway,2024Q2,51.0,430.0,House,3
Barwon South West,Colac-Otway,2024Q3,44.0,440.0,House,3
Barwon South West,Colac-Otway,2024Q4,38.0,433.0,House,3
Barwon South West,Corangamite,1999Q2,23.0,100.0,House,3
Barwon South West,Corangamite,1999Q3,23.0,100.0,House,3
Barwon South West,Corangamite,1999Q4,26.0,110.0,House,3
Barwon South West,Corangamite,2000Q1,29.0,100.0,House,3
Barwon South West,Corangamite,2000Q2,25.0,110.0,House,3
Barwon South West,Corangamite,2000Q3,29.0,120.0,House,3
Barwon South West,Corangamite,2000Q4,17.0,100.0,House,3
Barwon South West,Corangamite,2001Q1,25.0,100.0,House,3
Barwon South West,Corangamite,2001Q2,11.0,110.0,House,3
Barwon South West,Corangamite,2001Q3,26.0,110.0,House,3
Barwon South West,Corangamite,2001Q4,23.0,110.0,House,3
Barwon South West,Corangamite,2002Q1,13.0,120.0,House,3
Barwon South West,Corangamite,2002Q2,22.0,110.0,House,3
Barwon South West,Corangamite,2002Q3,23.0,110.0,House,3
Barwon South West,Corangamite,2002Q4,21.0,120.0,House,3
Barwon South West,Corangamite,2003Q1,23.0,125.0,House,3
Barwon South West,Corangamite,2003Q2,16.0,123.0,House,3
Barwon South West,Corangamite,2003Q3,32.0,120.0,House,3
Barwon South West,Corangamite,2003Q4,26.0,133.0,House,3
Barwon South West,Corangamite,2004Q1,25.0,125.0,House,3
Barwon South West,Corangamite,2004Q2,27.0,140.0,House,3
Barwon South West,Corangamite,2004Q3,27.0,145.0,House,3
Barwon South West,Corangamite,2004Q4,29.0,145.0,House,3
Barwon South West,Corangamite,2005Q1,40.0,173.0,House,3
Barwon South West,Corangamite,2005Q2,32.0,143.0,House,3
Barwon South West,Corangamite,2005Q3,49.0,150.0,House,3
Barwon South West,Corangamite,2005Q4,37.0,150.0,House,3
Barwon South West,Corangamite,2006Q1,39.0,190.0,House,3
Barwon South West,Corangamite,2006Q2,35.0,160.0,House,3
Barwon South West,Corangamite,2006Q3,44.0,188.0,House,3
Barwon South West,Corangamite,2006Q4,46.0,160.0,House,3
Barwon South West,Corangamite,2007Q1,43.0,180.0,House,3
